商品名称,价格,店铺名称,颜色,评论数,图片,店铺ID,卖点,skuId,总销量,商品ID
华硕TUF GAMING B850M-PLUS II重炮手主板+AMD 锐龙5  9600X CPU  主板+CPU套装,2598.00,华硕京东自营旗舰店,B850M重炮手2代+9600X,2000+,jfs/t1/324461/23/27654/124557/68e9c254Fa6bc16cc/d100bb44b2fc71d8.jpg,1000000225,强劲处理;稳定性能;紧凑设计,100278773610,4000+,100278773610
精粤(JGINYUE) 精粤 主板CPU套装B760I Snow Dream D5+INTEL 酷睿i5 14600K 主板CPU套装,2319.00,精粤京东自营旗舰店,i5 14600K,500+,jfs/t1/332317/1/1401/129125/68a5afc4F1074c7ba/b20e323523eda509.png,1000600299,,100270405172,800+,100270405172
ROG B860小吹雪主板+intel 250K PLUS CPU+金士顿FURY 32GB(16G×2) DDR5 6000 内存 CL30 套装,10557.00,,B860小吹雪+250K+金士顿32G 6000,0,jfs/t1/407367/35/13310/154992/69c49aacF066ae051/0083320320fa05c6.jpg,0,紧凑设计;游戏专用;WiFi加持;游戏利器;高速内存,100251290781,,100251290781
技嘉（GIGABYTE）超级雕X870E AORUS MASTER X3D DDR5支持AMD CPU AM5 9700X 9950X 9900X 9600X,4799.00,技嘉京东自营旗舰店,X870,2000+,jfs/t1/427933/10/7920/182572/69f326edFf0c8100f/008332032048ea0e.jpg,1000000297,店铺被10万人种草;2千+店铺粉丝浏览,100226361121,8000+,100226361121
七彩虹（Colorful） 主板CPU套装COLORFIRE B850M-A MEOW WIFI橘影橙+AMD 锐龙 7 9700XCPU 主板+CPU套装,2378.00,七彩虹京东自营旗舰店,R7 9700X,200+,jfs/t1/341296/18/9748/196940/69313e1bFd6bd30be/7e319541dae65c05.jpg,1000000267,强劲处理;炫彩设计,100248670250,200+,100248670250
精粤(JGINYUE) 精粤 主板CPU套装H610M-D PLUS+INTEL 酷睿i5 12490F 主板CPU套装,1379.00,精粤京东自营旗舰店,i5 12490F,500+,jfs/t1/290712/28/6542/124701/6823f9aaF8d66f11e/b692b76c69c79321.png,1000600299,H610芯片;紧凑设计;高性能CPU;M-ATX板;H610接口;酷睿性能,100226198176,800+,100226198176
华擎 (ASRock)B850M Riptide 黑潮风暴 WIFI7 主板+AMD 锐龙9 9900X3D CPU  板U套装,5048.00,华擎京东自营旗舰店,,0,jfs/t1/272122/14/14932/149467/67ee3f20F505a0ada/a73423ab6bea4c24.jpg,1000000509,紧凑设计;强劲性能;强劲处理;AMD锐龙;丰富接口,100200990484,,100200990484
七彩虹（Colorful） 主板CPU套装BATTLE-AX B860M-P WIFI V20+Intel Ultra 5 225F主板+CPU套装,1319.00,七彩虹京东自营旗舰店,七彩虹B860M-P WIFI+225F,500+,jfs/t1/322736/21/12279/163115/68ce6753F3a8d8b1e/68215135db8de447.jpg,1000000267,600+店铺粉丝浏览;600+人加购;8千+人浏览,100209656385,1000+,100209656385
技嘉（GIGABYTE）主板CPU 板U套装白魔鹰B650M GAMING WIFI主板+AMD 锐龙 5 9600X板U套装,1989.00,技嘉京东自营旗舰店,技嘉B650M白魔鹰WIFI+9600X,2万+,jfs/t1/384479/21/16111/152974/6968806fFbdb4607d/00833203204dbd6b.jpg,1000000297,强劲性能;高效散热;超频能力;套装更优惠,100131197512,5万+,100131197512
精粤(JGINYUE) 精粤 主板CPU套装B760M GAMING+INTEL 酷睿i5 14600K 主板CPU套装,2159.00,精粤京东自营旗舰店,i5 14600K,500+,jfs/t1/327449/2/8194/142798/68a5a3f5Fd841b7c2/b82f57f31e514a57.png,1000600299,,100270405242,800+,100270405242
